container,size,date,time,ter,good
SEGU1811439,20,6/7/2558,1:15:00,0252,5807A0010995
TEMU3592146,20,6/7/2558,1:15:10,0252,5807A0010998
SITU2873876,20,6/7/2558,1:23:07,0252,5807A0010990
TEMU3333103,20,6/7/2558,1:23:17,0252,5807A0011005
DFSU2856535,20,6/7/2558,1:25:41,0252,5807A0010992
BMOU2621499,20,6/7/2558,1:25:55,0252,5807A0010994
BMOU2631389,20,6/7/2558,1:26:14,0252,5807A0010993
SITU2910223,20,6/7/2558,1:26:27,0252,5807A0011002
BMOU2543082,20,6/7/2558,1:28:10,0252,5807A0033056
BMOU2788038,20,6/7/2558,1:28:36,0252,5807A0010991
DFSU1685401,20,6/7/2558,1:28:46,0252,5807A0011004
SITU2850968,20,6/7/2558,1:30:51,0252,5807A0010989
DFSU2221827,20,6/7/2558,1:31:03,0252,5807A0011000
SITU2902423,20,6/7/2558,1:32:21,0252,5807A0011003
RFCU2306968,20,6/7/2558,1:32:47,0252,5807A0010980
SITU2930575,20,6/7/2558,1:32:59,0252,5807A0010971
SITU2846612,20,6/7/2558,1:36:23,0252,5807A0010970
TEMU3482112,20,6/7/2558,1:40:56,0252,5807A0010988
TGHU1594877,20,6/7/2558,1:42:51,0252,5807A0010977
SEGUI554897,20,6/7/2558,1:43:04,0252,5807A0010981
TEMU2967850,20,6/7/2558,1:44:49,0252,5807A0011001
TEMU2117049,20,6/7/2558,1:44:59,0252,5807A0010982
BMOU2632209,20,6/7/2558,1:45:30,0252,5807A0010978
SITU2944265,20,6/7/2558,1:48:31,0252,5807A0043881
BMOU2637089,20,6/7/2558,1:57:36,0252,5807A0044836
TEMU3339396,20,6/7/2558,1:58:26,0252,5807A0010956
TEMU3328030,20,6/7/2558,1:58:36,0252,5807A0010951
BMOU2543288,20,6/7/2558,1:59:22,0252,5807A0044456
SITU2951541,20,6/7/2558,1:59:35,0252,5807A0043611
SITU2955402,20,6/7/2558,2:02:16,0252,5807A0010969
SEGU2023180,20,6/7/2558,2:02:27,0252,5807A0010955
BMOU2740707,20,6/7/2558,2:04:43,0252,5807A0010952
SITU2847563,20,6/7/2558,2:04:53,0252,5807A0010962
TEMU5760927,20,6/7/2558,2:07:42,0252,5807A0010949
DFSUI271525,20,6/7/2558,2:07:56,0252,5807A0010948
TRHU2971787,20,6/7/2558,2:11:08,0252,5807A0043472
SITU2863380,20,6/7/2558,2:11:21,0252,5807A0033470
TEMU3210984,20,6/7/2558,2:12:29,0252,5807A0045269
SEGUI831076,20,6/7/2558,2:12:45,0252,5807A0045304
TEMU2103981,20,6/7/2558,2:12:55,0252,5807A0010958
TRHU2972931,20,6/7/2558,2:13:06,0252,5807A0010960
SEGU2051222,20,6/7/2558,2:13:38,0252,5807A0043746
TCKU1591613,20,6/7/2558,2:23:04,0252,5807A0043933
SITU9051259,40,6/7/2558,2:26:59,0252,5807A0043636
TEMU7905296,40,6/7/2558,2:29:29,0252,5807A0043732
DFSU6985206,40,6/7/2558,2:33:38,0252,5807A0044321
BMOU4225917,40,6/7/2558,2:39:18,0252,5807A0024622
SAXU4914092,40,6/7/2558,2:42:27,0252,5807A0045922
TCNU7599914,40,6/7/2558,2:45:46,0252,5807A0038998
SEGU1809766,20,6/7/2558,2:49:49,0252,5807A0042055
DFSU2086054,20,6/7/2558,2:50:07,0252,5807A0024624
TEMU7822864,40,6/7/2558,3:07:27,0252,5807A0030323
DFSU1685952,20,6/7/2558,3:08:36,0252,5807A0043471
TEMU5335527,20,6/7/2558,3:08:48,0252,5807A0038492
TCNU4525266,40,6/7/2558,3:37:59,0252,5807A0045319
TEXU8931035,40,6/7/2558,5:02:31,0252,
TEXU8940227,40,6/7/2558,5:02:43,0252,
ECMU1571737,20,5/7/2558,15:21:09,0252,5807A0004884
ECMU1821667,20,5/7/2558,15:21:33,0252,5807A0007050
DFSUI968593,20,5/7/2558,15:28:42,0252,
SUDU7640626,20,5/7/2558,15:30:31,0252,5807A0034602
FCIU5605967,20,5/7/2558,15:30:32,0252,5807A0042054
DRYU3004830,20,5/7/2558,15:30:43,0252,5807A0045309
TSLu0216576,20,5/7/2558,15:30:49,0252,5807A0042062
TCNU6083081,40,5/7/2558,15:33:45,0252,5807A0039938
CRSU9213050,40,5/7/2558,15:36:23,0252,5807A0042212
TSLU0209237,20,5/7/2558,15:37:23,0252,5807A0034020
DFSU7363887,40,5/7/2558,I5:39:52,0252,5807A0042060
BSIU9531469,40,5/7/2558,16:53:49,0252,5807A0017019
BSIU4056094,40,5/7/2558,16:54:30,0252,5807A0021062
TSLU0502440,40,5/7/2558,17:00:41,0252,5807A0044320
TSLU0538119,40,5/7/2558,17:21:59,0252,5807A0045305
TEMU7946470,40,5/7/2558,17:24:10,0252,5807A0045308
NYKU4916310,40,3/7/2558,5:23:18,0252,5806A0344423
NYKU5112907,40,3/7/2558,5:24:01,0252,5806A0344426
TCLU8447020,40,3/7/2558,5:24:33,0252,5806A0344428
NYKU4431176,40,3/7/2558,5:26:03,0252,5806A0344424
